STATE_NAME,total_pop,COUNTY_NAME,fips,init_inf_per_1M
Alabama,5054253,Jefferson County,01073,6
Alaska,733971,Anchorage Municipality,02020,1
Arizona,7268175,Maricopa County,04013,8
Arkansas,3032651,Pulaski County,05119,4
California,39242785,Los Angeles County,06037,40
Colorado,5810774,El Paso County,08041,6
Connecticut,3598348,Capitol Planning Region,09110,4
Delaware,1005872,New Castle County,10003,2
District of Columbia,672079,District of Columbia,11001,1
Florida,21928881,Miami-Dade County,12086,22
Georgia,10822590,Fulton County,13121,11
Hawaii,1445635,Honolulu County,15003,2
Idaho,1893296,Ada County,16001,2
Illinois,12692653,Cook County,17031,13
Indiana,6811752,Marion County,18097,7
Iowa,3195937,Polk County,19153,4
Kansas,2937569,Johnson County,20091,3
Kentucky,4510725,Jefferson County,21111,5
Louisiana,4621025,East Baton Rouge Parish,22033,5
Maine,1377400,Cumberland County,23005,2
Maryland,6170738,Montgomery County,24031,7
Massachusetts,6992395,Middlesex County,25017,7
Michigan,10051595,Wayne County,26163,11
Minnesota,5713716,Hennepin County,27053,6
Mississippi,2951438,Hinds County,28049,3
Missouri,6168181,St. Louis County,29189,7
Montana,1105072,Yellowstone County,30111,2
Nebraska,1965926,Douglas County,31055,2
Nevada,3141000,Clark County,32003,4
New Hampshire,1387834,Hillsborough County,33011,2
New Jersey,9267014,Bergen County,34003,10
New Mexico,2114768,Bernalillo County,35001,3
New York,19872319,Kings County,36047,20
North Carolina,10584340,Wake County,37183,11
North Dakota,779361,Cass County,38017,1
Ohio,11780046,Franklin County,39049,12
Oklahoma,3995260,Oklahoma County,40109,4
Oregon,4238714,Multnomah County,41051,5
Pennsylvania,12986518,Philadelphia County,42101,13
Rhode Island,1095371,Providence County,44007,2
South Carolina,5212774,Greenville County,45045,6
South Dakota,899194,Minnehaha County,46099,1
Tennessee,6986082,Shelby County,47157,7
Texas,29640343,Harris County,48201,30
Utah,3331187,Salt Lake County,49035,4
Vermont,645254,Chittenden County,50007,1
Virginia,8657499,Fairfax County,51059,9
Washington,7740984,King County,53033,8
West Virginia,1784462,Kanawha County,54039,2
Wisconsin,5892023,Milwaukee County,55079,6
Wyoming,579761,Laramie County,56021,1
